Title,Price,Rating,Number_of_ratings
"        Apple iPhone 12, 64GB, Green - Fully Unlocked (Renewed)       ",$384.00,4.3 out of 5 stars,"7,502 ratings"
"        iPhone 13, 128GB, Product Red - Unlocked (Renewed Premium)       ",$668.00,4.3 out of 5 stars,225 ratings
"        iPhone 13 Pro Max, 128GB, Silver - Unlocked (Renewed Premium)       ","$1,075.00",4.1 out of 5 stars,412 ratings
"        Apple iPhone 14 Plus, 128GB, Midnight - Unlocked (Renewed)       ",$695.00,4.3 out of 5 stars,115 ratings
"        iPhone 13 Pro, 128GB, Gold - Unlocked (Renewed Premium)       ",$849.00,3.8 out of 5 stars,13 ratings
"        Apple iPhone 11 Pro Max, 64GB, Space Gray - Unlocked (Renewed)       ",$408.00,4.3 out of 5 stars,"13,373 ratings"
"        Apple iPhone X, US Version, 64GB, Silver - Unlocked (Renewed)       ",$225.00,4.2 out of 5 stars,"22,953 ratings"
"        Apple iPhone 11, 64GB, Black - Unlocked (Renewed)       ",$296.00,4.3 out of 5 stars,"36,383 ratings"
"        Apple iPhone XR, 64GB, Black - Unlocked (Renewed)       ",$229.00,4.5 out of 5 stars,"58,288 ratings"
"        Apple iPhone 14, 128GB, Midnight - Unlocked (Renewed)       ",$648.55,4.4 out of 5 stars,175 ratings
"        Apple iPhone SE (2nd Generation), US Version, 64GB, White - Unlocked (Renewed)       ",$144.00,4.4 out of 5 stars,"10,007 ratings"
"        Apple iPhone 8 Plus, 64GB, Space Gray - Unlocked (Renewed)       ",$184.25,4.4 out of 5 stars,"25,516 ratings"
"        Apple iPhone 8, 64GB, Gold - Unlocked (Renewed)       ",$185.00,4.3 out of 5 stars,"50,725 ratings"
"        Apple iPhone 12 Mini, 64GB, Red - Unlocked (Renewed)       ",$316.00,4.3 out of 5 stars,"5,039 ratings"
"        Apple iPhone 12, 64GB, Green - Fully Unlocked (Renewed)       ",$388.55,4.3 out of 5 stars,"7,502 ratings"
"        iPhone 13, 128GB, Product Red - Unlocked (Renewed Premium)       ",$668.00,4.3 out of 5 stars,225 ratings
"        iPhone 13 Pro Max, 128GB, Silver - Unlocked (Renewed Premium)       ","$1,075.00",4.1 out of 5 stars,412 ratings
"        Apple iPhone 14 Plus, 128GB, Midnight - Unlocked (Renewed)       ",$695.00,4.3 out of 5 stars,115 ratings
"        iPhone 13 Pro, 128GB, Gold - Unlocked (Renewed Premium)       ",$849.00,3.8 out of 5 stars,13 ratings
"        Apple iPhone 11 Pro Max, 64GB, Space Gray - Unlocked (Renewed)       ",$408.00,4.3 out of 5 stars,"13,373 ratings"
"        Apple iPhone X, US Version, 64GB, Silver - Unlocked (Renewed)       ",$225.00,4.2 out of 5 stars,"22,953 ratings"
"        Apple iPhone 11, 64GB, Black - Unlocked (Renewed)       ",$296.00,4.3 out of 5 stars,"36,383 ratings"
"        Apple iPhone XR, 64GB, Black - Unlocked (Renewed)       ",$229.00,4.5 out of 5 stars,"58,288 ratings"
"        Apple iPhone 14, 128GB, Midnight - Unlocked (Renewed)       ",$648.55,4.4 out of 5 stars,175 ratings
"        Apple iPhone SE (2nd Generation), US Version, 64GB, White - Unlocked (Renewed)       ",$144.00,4.4 out of 5 stars,"10,007 ratings"
"        Apple iPhone 8 Plus, 64GB, Space Gray - Unlocked (Renewed)       ",$184.25,4.4 out of 5 stars,"25,516 ratings"
"        Apple iPhone 8, 64GB, Gold - Unlocked (Renewed)       ",$185.00,4.3 out of 5 stars,"50,725 ratings"
"        Apple iPhone 12 Mini, 64GB, Red - Unlocked (Renewed)       ",$316.00,4.3 out of 5 stars,"5,039 ratings"
"        Apple iPhone 12, 64GB, Green - Fully Unlocked (Renewed)       ",$388.55,4.3 out of 5 stars,"7,502 ratings"
"        iPhone 13, 128GB, Product Red - Unlocked (Renewed Premium)       ",$668.00,4.3 out of 5 stars,225 ratings
"        iPhone 13 Pro Max, 128GB, Silver - Unlocked (Renewed Premium)       ","$1,075.00",4.1 out of 5 stars,412 ratings
"        Apple iPhone 14 Plus, 128GB, Midnight - Unlocked (Renewed)       ",$695.00,4.3 out of 5 stars,115 ratings
"        iPhone 13 Pro, 128GB, Gold - Unlocked (Renewed Premium)       ",$849.00,3.8 out of 5 stars,13 ratings
"        Apple iPhone 11 Pro Max, 64GB, Space Gray - Unlocked (Renewed)       ",$408.00,4.3 out of 5 stars,"13,373 ratings"
"        Apple iPhone X, US Version, 64GB, Silver - Unlocked (Renewed)       ",$225.00,4.2 out of 5 stars,"22,953 ratings"
"        Apple iPhone 11, 64GB, Black - Unlocked (Renewed)       ",$296.00,4.3 out of 5 stars,"36,384 ratings"
"        Apple iPhone XR, 64GB, Black - Unlocked (Renewed)       ",$229.00,4.5 out of 5 stars,"58,288 ratings"
"        Apple iPhone 14, 128GB, Midnight - Unlocked (Renewed)       ",$648.55,4.4 out of 5 stars,175 ratings
"        Apple iPhone SE (2nd Generation), US Version, 64GB, White - Unlocked (Renewed)       ",$147.00,4.4 out of 5 stars,"10,007 ratings"
"        Apple iPhone 8 Plus, 64GB, Space Gray - Unlocked (Renewed)       ",$184.25,4.4 out of 5 stars,"25,516 ratings"
"        Apple iPhone 8, 64GB, Gold - Unlocked (Renewed)       ",$185.00,4.3 out of 5 stars,"50,725 ratings"
"        Apple iPhone 12 Mini, 64GB, Red - Unlocked (Renewed)       ",$310.99,4.3 out of 5 stars,"5,039 ratings"
"        Apple iPhone 12, 64GB, Green - Fully Unlocked (Renewed)       ",$384.00,4.3 out of 5 stars,"7,502 ratings"
"        iPhone 13, 128GB, Product Red - Unlocked (Renewed Premium)       ",$668.00,4.3 out of 5 stars,225 ratings
"        iPhone 13 Pro Max, 128GB, Silver - Unlocked (Renewed Premium)       ","$1,075.00",4.1 out of 5 stars,412 ratings
"        Apple iPhone 14 Plus, 128GB, Midnight - Unlocked (Renewed)       ",$695.00,4.3 out of 5 stars,115 ratings
"        iPhone 13 Pro, 128GB, Gold - Unlocked (Renewed Premium)       ",$849.00,3.8 out of 5 stars,13 ratings
"        Apple iPhone 11 Pro Max, 64GB, Space Gray - Unlocked (Renewed)       ",$408.00,4.3 out of 5 stars,"13,373 ratings"
"        Apple iPhone X, US Version, 64GB, Silver - Unlocked (Renewed)       ",$225.00,4.2 out of 5 stars,"22,953 ratings"
"        Apple iPhone 11, 64GB, Black - Unlocked (Renewed)       ",$296.00,4.3 out of 5 stars,"36,384 ratings"
"        Apple iPhone XR, 64GB, Black - Unlocked (Renewed)       ",$229.00,4.5 out of 5 stars,"58,288 ratings"
"        Apple iPhone 14, 128GB, Midnight - Unlocked (Renewed)       ",$648.55,4.4 out of 5 stars,175 ratings
"        Apple iPhone SE (2nd Generation), US Version, 64GB, White - Unlocked (Renewed)       ",$144.00,4.4 out of 5 stars,"10,007 ratings"
"        Apple iPhone 8 Plus, 64GB, Space Gray - Unlocked (Renewed)       ",$184.25,4.4 out of 5 stars,"25,516 ratings"
"        Apple iPhone 8, 64GB, Gold - Unlocked (Renewed)       ",$185.00,4.3 out of 5 stars,"50,725 ratings"
"        Apple iPhone 12 Mini, 64GB, Red - Unlocked (Renewed)       ",$316.00,4.3 out of 5 stars,"5,039 ratings"
"        Apple iPhone 12, 64GB, Green - Fully Unlocked (Renewed)       ",$388.55,4.3 out of 5 stars,"7,502 ratings"
"        iPhone 13, 128GB, Product Red - Unlocked (Renewed Premium)       ",$668.00,4.3 out of 5 stars,225 ratings
"        iPhone 13 Pro Max, 128GB, Silver - Unlocked (Renewed Premium)       ","$1,075.00",4.1 out of 5 stars,412 ratings
"        Apple iPhone 14 Plus, 128GB, Midnight - Unlocked (Renewed)       ",$695.00,4.3 out of 5 stars,115 ratings
"        iPhone 13 Pro, 128GB, Gold - Unlocked (Renewed Premium)       ",$849.00,3.8 out of 5 stars,13 ratings
"        Apple iPhone 11 Pro Max, 64GB, Space Gray - Unlocked (Renewed)       ",$408.00,4.3 out of 5 stars,"13,373 ratings"
"        Apple iPhone X, US Version, 64GB, Silver - Unlocked (Renewed)       ",$228.00,4.2 out of 5 stars,"22,953 ratings"
"        Apple iPhone 11, 64GB, Black - Unlocked (Renewed)       ",$296.00,4.3 out of 5 stars,"36,384 ratings"
"        Apple iPhone XR, 64GB, Black - Unlocked (Renewed)       ",$229.00,4.5 out of 5 stars,"58,288 ratings"
"        Apple iPhone 14, 128GB, Midnight - Unlocked (Renewed)       ",$648.55,4.4 out of 5 stars,175 ratings
"        Apple iPhone SE (2nd Generation), US Version, 64GB, White - Unlocked (Renewed)       ",$144.00,4.4 out of 5 stars,"10,007 ratings"
"        Apple iPhone 8 Plus, 64GB, Space Gray - Unlocked (Renewed)       ",$184.25,4.4 out of 5 stars,"25,516 ratings"
"        Apple iPhone 8, 64GB, Gold - Unlocked (Renewed)       ",$185.00,4.3 out of 5 stars,"50,725 ratings"
"        Apple iPhone 12 Mini, 64GB, Red - Unlocked (Renewed)       ",$316.00,4.3 out of 5 stars,"5,039 ratings"
"        Apple iPhone 12, 64GB, Green - Fully Unlocked (Renewed)       ",$384.00,4.3 out of 5 stars,"7,502 ratings"
"        iPhone 13, 128GB, Product Red - Unlocked (Renewed Premium)       ",$668.00,4.3 out of 5 stars,225 ratings
"        iPhone 13 Pro Max, 128GB, Silver - Unlocked (Renewed Premium)       ","$1,075.00",4.1 out of 5 stars,412 ratings
"        Apple iPhone 14 Plus, 128GB, Midnight - Unlocked (Renewed)       ",$695.00,4.3 out of 5 stars,115 ratings
"        iPhone 13 Pro, 128GB, Gold - Unlocked (Renewed Premium)       ",$849.00,3.8 out of 5 stars,13 ratings
"        Apple iPhone 11 Pro Max, 64GB, Space Gray - Unlocked (Renewed)       ",$408.00,4.3 out of 5 stars,"13,373 ratings"
"        Apple iPhone X, US Version, 64GB, Silver - Unlocked (Renewed)       ",$228.00,4.2 out of 5 stars,"22,953 ratings"
"        Apple iPhone 11, 64GB, Black - Unlocked (Renewed)       ",$296.00,4.3 out of 5 stars,"36,384 ratings"
"        Apple iPhone XR, 64GB, Black - Unlocked (Renewed)       ",$229.00,4.5 out of 5 stars,"58,288 ratings"
"        Apple iPhone 14, 128GB, Midnight - Unlocked (Renewed)       ",$648.55,4.4 out of 5 stars,175 ratings
"        Apple iPhone SE (2nd Generation), US Version, 64GB, White - Unlocked (Renewed)       ",$147.00,4.4 out of 5 stars,"10,007 ratings"
"        Apple iPhone 8 Plus, 64GB, Space Gray - Unlocked (Renewed)       ",$184.25,4.4 out of 5 stars,"25,516 ratings"
"        Apple iPhone 8, 64GB, Gold - Unlocked (Renewed)       ",$185.00,4.3 out of 5 stars,"50,726 ratings"
"        Apple iPhone 12 Mini, 64GB, Red - Unlocked (Renewed)       ",$310.99,4.3 out of 5 stars,"5,039 ratings"
"        Apple iPhone 12, 64GB, Green - Fully Unlocked (Renewed)       ",$384.00,4.3 out of 5 stars,"7,502 ratings"
"        iPhone 13, 128GB, Product Red - Unlocked (Renewed Premium)       ",$668.00,4.3 out of 5 stars,225 ratings
"        iPhone 13 Pro Max, 128GB, Silver - Unlocked (Renewed Premium)       ","$1,075.00",4.1 out of 5 stars,412 ratings
"        Apple iPhone 14 Plus, 128GB, Midnight - Unlocked (Renewed)       ",$695.00,4.3 out of 5 stars,115 ratings
"        iPhone 13 Pro, 128GB, Gold - Unlocked (Renewed Premium)       ",$849.00,3.8 out of 5 stars,13 ratings
"        Apple iPhone 11 Pro Max, 64GB, Space Gray - Unlocked (Renewed)       ",$408.00,4.3 out of 5 stars,"13,373 ratings"
"        Apple iPhone X, US Version, 64GB, Silver - Unlocked (Renewed)       ",$225.00,4.2 out of 5 stars,"22,953 ratings"
"        Apple iPhone 11, 64GB, Black - Unlocked (Renewed)       ",$296.00,4.3 out of 5 stars,"36,384 ratings"
"        Apple iPhone XR, 64GB, Black - Unlocked (Renewed)       ",$229.00,4.5 out of 5 stars,"58,288 ratings"
"        Apple iPhone 14, 128GB, Midnight - Unlocked (Renewed)       ",$648.55,4.4 out of 5 stars,175 ratings
"        Apple iPhone SE (2nd Generation), US Version, 64GB, White - Unlocked (Renewed)       ",$144.00,4.4 out of 5 stars,"10,007 ratings"
"        Apple iPhone 8 Plus, 64GB, Space Gray - Unlocked (Renewed)       ",$184.25,4.4 out of 5 stars,"25,516 ratings"
"        Apple iPhone 8, 64GB, Gold - Unlocked (Renewed)       ",$185.00,4.3 out of 5 stars,"50,726 ratings"
"        Apple iPhone 12 Mini, 64GB, Red - Unlocked (Renewed)       ",$316.00,4.3 out of 5 stars,"5,039 ratings"
"        Apple iPhone 12, 64GB, Green - Fully Unlocked (Renewed)       ",$384.00,4.3 out of 5 stars,"7,502 ratings"
"        iPhone 13, 128GB, Product Red - Unlocked (Renewed Premium)       ",$668.00,4.3 out of 5 stars,225 ratings
"        iPhone 13 Pro Max, 128GB, Silver - Unlocked (Renewed Premium)       ","$1,075.00",4.1 out of 5 stars,412 ratings
"        Apple iPhone 14 Plus, 128GB, Midnight - Unlocked (Renewed)       ",$695.00,4.3 out of 5 stars,115 ratings
"        iPhone 13 Pro, 128GB, Gold - Unlocked (Renewed Premium)       ",$849.00,3.8 out of 5 stars,13 ratings
"        Apple iPhone 11 Pro Max, 64GB, Space Gray - Unlocked (Renewed)       ",$408.00,4.3 out of 5 stars,"13,373 ratings"
"        Apple iPhone X, US Version, 64GB, Silver - Unlocked (Renewed)       ",$225.00,4.2 out of 5 stars,"22,953 ratings"
"        Apple iPhone 11, 64GB, Black - Unlocked (Renewed)       ",$296.00,4.3 out of 5 stars,"36,384 ratings"
"        Apple iPhone XR, 64GB, Black - Unlocked (Renewed)       ",$229.00,4.5 out of 5 stars,"58,288 ratings"
"        Apple iPhone 14, 128GB, Midnight - Unlocked (Renewed)       ",$648.55,4.4 out of 5 stars,175 ratings
"        Apple iPhone SE (2nd Generation), US Version, 64GB, White - Unlocked (Renewed)       ",$144.00,4.4 out of 5 stars,"10,007 ratings"
"        Apple iPhone 8 Plus, 64GB, Space Gray - Unlocked (Renewed)       ",$184.25,4.4 out of 5 stars,"25,516 ratings"
"        Apple iPhone 8, 64GB, Gold - Unlocked (Renewed)       ",$185.00,4.3 out of 5 stars,"50,726 ratings"
"        Apple iPhone 12 Mini, 64GB, Red - Unlocked (Renewed)       ",$316.00,4.3 out of 5 stars,"5,039 ratings"
"        Apple iPhone 12, 64GB, Green - Fully Unlocked (Renewed)       ",$384.00,4.3 out of 5 stars,"7,502 ratings"
"        iPhone 13, 128GB, Product Red - Unlocked (Renewed Premium)       ",$668.00,4.3 out of 5 stars,225 ratings
"        iPhone 13 Pro Max, 128GB, Silver - Unlocked (Renewed Premium)       ","$1,075.00",4.1 out of 5 stars,412 ratings
"        Apple iPhone 14 Plus, 128GB, Midnight - Unlocked (Renewed)       ",$695.00,4.3 out of 5 stars,115 ratings
"        iPhone 13 Pro, 128GB, Gold - Unlocked (Renewed Premium)       ",$849.00,3.8 out of 5 stars,13 ratings
"        Apple iPhone 11 Pro Max, 64GB, Space Gray - Unlocked (Renewed)       ",$408.00,4.3 out of 5 stars,"13,373 ratings"
"        Apple iPhone X, US Version, 64GB, Silver - Unlocked (Renewed)       ",$228.00,4.2 out of 5 stars,"22,953 ratings"
"        Apple iPhone 11, 64GB, Black - Unlocked (Renewed)       ",$296.00,4.3 out of 5 stars,"36,384 ratings"
"        Apple iPhone XR, 64GB, Black - Unlocked (Renewed)       ",$229.00,4.5 out of 5 stars,"58,288 ratings"
"        Apple iPhone 14, 128GB, Midnight - Unlocked (Renewed)       ",$648.55,4.4 out of 5 stars,175 ratings
"        Apple iPhone SE (2nd Generation), US Version, 64GB, White - Unlocked (Renewed)       ",$144.00,4.4 out of 5 stars,"10,007 ratings"
"        Apple iPhone 8 Plus, 64GB, Space Gray - Unlocked (Renewed)       ",$184.25,4.4 out of 5 stars,"25,516 ratings"
"        Apple iPhone 8, 64GB, Gold - Unlocked (Renewed)       ",$185.00,4.3 out of 5 stars,"50,726 ratings"
"        Apple iPhone 12 Mini, 64GB, Red - Unlocked (Renewed)       ",$316.00,4.3 out of 5 stars,"5,039 ratings"
"        Apple iPhone 12, 64GB, Green - Fully Unlocked (Renewed)       ",$384.00,4.3 out of 5 stars,"7,502 ratings"
"        iPhone 13, 128GB, Product Red - Unlocked (Renewed Premium)       ",$668.00,4.3 out of 5 stars,225 ratings
"        iPhone 13 Pro Max, 128GB, Silver - Unlocked (Renewed Premium)       ","$1,075.00",4.1 out of 5 stars,412 ratings
"        Apple iPhone 14 Plus, 128GB, Midnight - Unlocked (Renewed)       ",$695.00,4.3 out of 5 stars,115 ratings
"        iPhone 13 Pro, 128GB, Gold - Unlocked (Renewed Premium)       ",$849.00,3.8 out of 5 stars,13 ratings
"        Apple iPhone 11 Pro Max, 64GB, Space Gray - Unlocked (Renewed)       ",$408.00,4.3 out of 5 stars,"13,373 ratings"
"        Apple iPhone X, US Version, 64GB, Silver - Unlocked (Renewed)       ",$228.00,4.2 out of 5 stars,"22,953 ratings"
"        Apple iPhone 11, 64GB, Black - Unlocked (Renewed)       ",$296.00,4.3 out of 5 stars,"36,384 ratings"
"        Apple iPhone XR, 64GB, Black - Unlocked (Renewed)       ",$229.00,4.5 out of 5 stars,"58,288 ratings"
"        Apple iPhone 14, 128GB, Midnight - Unlocked (Renewed)       ",$648.55,4.4 out of 5 stars,175 ratings
"        Apple iPhone SE (2nd Generation), US Version, 64GB, White - Unlocked (Renewed)       ",$147.00,4.4 out of 5 stars,"10,007 ratings"
"        Apple iPhone 8 Plus, 64GB, Space Gray - Unlocked (Renewed)       ",$184.25,4.4 out of 5 stars,"25,516 ratings"
"        Apple iPhone 8, 64GB, Gold - Unlocked (Renewed)       ",,4.3 out of 5 stars,"50,726 ratings"
"        Apple iPhone 12 Mini, 64GB, Red - Unlocked (Renewed)       ",$310.99,4.3 out of 5 stars,"5,039 ratings"
"        Apple iPhone 12, 64GB, Green - Fully Unlocked (Renewed)       ",$384.00,4.3 out of 5 stars,"7,502 ratings"
"        iPhone 13, 128GB, Product Red - Unlocked (Renewed Premium)       ",$668.00,4.3 out of 5 stars,225 ratings
"        iPhone 13 Pro Max, 128GB, Silver - Unlocked (Renewed Premium)       ","$1,075.00",4.1 out of 5 stars,412 ratings
"        Apple iPhone 14 Plus, 128GB, Midnight - Unlocked (Renewed)       ",$695.00,4.3 out of 5 stars,115 ratings
"        iPhone 13 Pro, 128GB, Gold - Unlocked (Renewed Premium)       ",$849.00,3.8 out of 5 stars,13 ratings
"        Apple iPhone 11 Pro Max, 64GB, Space Gray - Unlocked (Renewed)       ",$408.00,4.3 out of 5 stars,"13,373 ratings"
"        Apple iPhone X, US Version, 64GB, Silver - Unlocked (Renewed)       ",$225.00,4.2 out of 5 stars,"22,953 ratings"
"        Apple iPhone 11, 64GB, Black - Unlocked (Renewed)       ",$296.00,4.3 out of 5 stars,"36,384 ratings"
"        Apple iPhone XR, 64GB, Black - Unlocked (Renewed)       ",$229.00,4.5 out of 5 stars,"58,288 ratings"
"        Apple iPhone 14, 128GB, Midnight - Unlocked (Renewed)       ",$648.55,4.4 out of 5 stars,175 ratings
"        Apple iPhone SE (2nd Generation), US Version, 64GB, White - Unlocked (Renewed)       ",$144.00,4.4 out of 5 stars,"10,007 ratings"
"        Apple iPhone 8 Plus, 64GB, Space Gray - Unlocked (Renewed)       ",$184.25,4.4 out of 5 stars,"25,516 ratings"
"        Apple iPhone 8, 64GB, Gold - Unlocked (Renewed)       ",,4.3 out of 5 stars,"50,726 ratings"
"        Apple iPhone 12 Mini, 64GB, Red - Unlocked (Renewed)       ",$316.00,4.3 out of 5 stars,"5,039 ratings"
"        Apple iPhone 12, 64GB, Green - Fully Unlocked (Renewed)       ",$384.00,4.3 out of 5 stars,"7,502 ratings"
"        iPhone 13, 128GB, Product Red - Unlocked (Renewed Premium)       ",$668.00,4.3 out of 5 stars,225 ratings
"        iPhone 13 Pro Max, 128GB, Silver - Unlocked (Renewed Premium)       ","$1,075.00",4.1 out of 5 stars,412 ratings
"        Apple iPhone 14 Plus, 128GB, Midnight - Unlocked (Renewed)       ",$695.00,4.3 out of 5 stars,115 ratings
"        iPhone 13 Pro, 128GB, Gold - Unlocked (Renewed Premium)       ",$849.00,3.8 out of 5 stars,13 ratings
"        Apple iPhone 11 Pro Max, 64GB, Space Gray - Unlocked (Renewed)       ",$408.00,4.3 out of 5 stars,"13,373 ratings"
"        Apple iPhone X, US Version, 64GB, Silver - Unlocked (Renewed)       ",$225.00,4.2 out of 5 stars,"22,953 ratings"
"        Apple iPhone 11, 64GB, Black - Unlocked (Renewed)       ",$296.00,4.3 out of 5 stars,"36,384 ratings"
"        Apple iPhone XR, 64GB, Black - Unlocked (Renewed)       ",$229.00,4.5 out of 5 stars,"58,288 ratings"
"        Apple iPhone 14, 128GB, Midnight - Unlocked (Renewed)       ",$648.55,4.4 out of 5 stars,175 ratings
"        Apple iPhone SE (2nd Generation), US Version, 64GB, White - Unlocked (Renewed)       ",$144.00,4.4 out of 5 stars,"10,007 ratings"
"        Apple iPhone 8 Plus, 64GB, Space Gray - Unlocked (Renewed)       ",$184.25,4.4 out of 5 stars,"25,516 ratings"
"        Apple iPhone 8, 64GB, Gold - Unlocked (Renewed)       ",,4.3 out of 5 stars,"50,726 ratings"
"        Apple iPhone 12 Mini, 64GB, Red - Unlocked (Renewed)       ",$316.00,4.3 out of 5 stars,"5,039 ratings"
"        Apple iPhone 12, 64GB, Green - Fully Unlocked (Renewed)       ",$388.55,4.3 out of 5 stars,"7,502 ratings"
